2024-05-21 19:36:41,417 - INFO - Soloon created at (14, 17).
2024-05-21 19:36:41,515 - WARNING - POST request to https://challenge.crossmint.io/api/comeths rate limited. Retrying in 5 seconds...
2024-05-21 19:36:46,631 - WARNING - POST request to https://challenge.crossmint.io/api/comeths rate limited. Retrying in 5 seconds...
2024-05-21 19:36:51,792 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:36:51,794 - INFO - Cometh created at (15, 1).
2024-05-21 19:36:51,909 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:51,912 - INFO - Polyanet created at (15, 8).
2024-05-21 19:36:52,034 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:52,037 - INFO - Polyanet created at (15, 9).
2024-05-21 19:36:52,167 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:52,170 - INFO - Polyanet created at (15, 12).
2024-05-21 19:36:52,295 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:52,299 - INFO - Polyanet created at (15, 14).
2024-05-21 19:36:52,422 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:52,426 - INFO - Polyanet created at (15, 17).
2024-05-21 19:36:52,542 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:52,545 - INFO - Polyanet created at (15, 18).
2024-05-21 19:36:52,679 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:36:52,683 - INFO - Soloon created at (15, 19).
2024-05-21 19:36:52,807 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:36:52,810 - INFO - Cometh created at (15, 26).
2024-05-21 19:36:52,933 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:36:52,937 - INFO - Cometh created at (16, 3).
2024-05-21 19:36:53,040 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
